N°,Municipio,Etapa,Edad,Género
601,OCOYUCAN,1,46,Femenino
602,OCOYUCAN,1,52,Femenino
603,OCOYUCAN,1,19,Femenino
604,OCOYUCAN,1,21,Femenino
605,OCOYUCAN,1,43,Femenino
606,OCOYUCAN,1,25,Femenino
607,OCOYUCAN,1,32,Femenino
608,OCOYUCAN,1,29,Femenino
609,OCOYUCAN,1,27,Femenino
610,OCOYUCAN,1,24,Femenino
611,OCOYUCAN,1,33,Femenino
612,TOCHIMILCO,1,29,Femenino
613,TOCHIMILCO,1,36,Femenino
614,TOCHIMILCO,1,29,Femenino
615,TOCHIMILCO,1,60,Femenino
616,TOCHIMILCO,1,40,Femenino
